id,_origin,name_JP,unit_JP,name,unit,tiles,skins,parse,vals,sort,trait,LV,chance,value,weight,recipeKey,factory,components,defMat,category,tag,detail_JP,detail
string,string,string,string,string,string,int[],int[],string[],string[],,string[],int,int,int,int,string[],string[],string[],string,string,string[],string,string
1312,,,,,,,,,,,,0,-1,-1,-1,,,,,,,,
1096,book,,,,,,,,,book,,,,,,,,,,,,,
rp_random,rp,,,,,,,,,book,,,,,,,,,,,,,
rp_food,rp,料理のレシピ,,food recipe,,1920,,,,book,"RecipeCat,food",,0,3000,,,,,,,,,
rp_weapon,rp,武器のレシピ,,weapon recipe,,1920,,,,book,"RecipeCat,weapon",,0,3000,,,,,,,,,
rp_armor,rp,防具のレシピ,,armor recipe,,1920,,,,book,"RecipeCat,armor",,0,3000,,,,,,,,,
rp_block,rp,建築のレシピ,,block recipe,,1920,,,,book,"RecipeCat,block",,0,3000,,,,,,,,,
983,letter_note,,,,,,,,,book,,,,,,,,,,,,,
984,letter_note,,,,,1815,,,,book,,,,,,,,,,,,,
372,spellbook,魔法書,,magic,spellbook,,,,,book,SpellbookRandom,,10000,,,,,,,,,,
1174,scroll,援軍の巻物,,ally,scroll,,,,"effect,Ally,100",book_scroll,ScrollStatic,15,50,20000,,,,,,,,,
1282,scroll,すくつ帰還の巻物,,void return,scroll,,,unique,"effect,ReturnVoid,100",book_scroll,ScrollStatic,100,10,40000,,,,,,,,,
1276,scroll,《リトルシスターの大移動》の巻物,,《Great Little Sister Migration》,scroll,,,,"effect,LittleSisterMigration,100",book_scroll,ScrollStatic,20,0,30000,,,,,,,noWish,大量のリトルシスターを旅立たせるための巻物だ。リトルガーデンのリトルシスターの半数がいなくなり、影響力が上昇する。,"A scroll that sends off a great number of Little Sisters. Half of the Little Sisters in the Little Garden will vanish, and your influence increases."
1085,scroll,免罪符,,indulgence,letter,2640,,,,book_scroll,Indulgence,35,5,25000,,,,,,,,,
scroll_random,scroll,巻物,,magic,scroll,,,,,book_scroll,ScrollRandom,1,20000,1800,,,,,,,,,
13,casket,,,,,3200,,,,container,,,,1000,,,,"plank/1,glass/2,nail/1",,,,,
14,casket,,,,,3201,,,,container,,,,1000,,,,"plank/1,glass/2,nail/1",,,,,
crimAle,drink,クリムエール,,crim ale,,2200,,,,drink,"Drink,Booze,100",1,,220,,,,,,booze,neg,庶民から貴族まで、みんなに愛されているお酒だ。,"A bottle of ale loved by everyone, from the common people to the aristocracy."
48,drink,ワイン,,wine,,2201,,,,drink,"Drink,Booze,100",1,,550,,,,,,booze,neg,,
49,drink,液体,,liquid,,2202,,,,drink,Drink,1,,150,,,,,,,,,
50,drink,お酒,,ale,,2203,,,,drink,"Drink,Booze,100",1,,300,,,,,,booze,neg,,
51,drink,お酒,,ale,,2204,,,,drink,"Drink,Booze,100",1,,310,,,,,,booze,neg,,
52,drink,お酒,,ale,,2205,,,,drink,"Drink,Booze,100",1,,320,,,,,,booze,neg,,
53,drink,クリムエール,,crim ale,,2206,,,,drink,"Drink,Booze,100",1,,180,,,,,,booze,neg,,
54,drink,ビア,,beer,,2207,,,,drink,"Drink,Booze,100",1,,150,,,,,,booze,neg,,
55,drink,お酒,,ale,,2208,,,,drink,"Drink,Booze,100",1,,330,,,,,,booze,neg,,
56,drink,お酒,,ale,,2209,,,,drink,"Drink,Booze,100",1,,340,,,,,,booze,neg,,
57,drink,お酒,,ale,,2210,,,,drink,"Drink,Booze,100",1,,330,,,,,,booze,neg,,
58,drink,ビア,杯,beer,jug,2211,,,,drink,"Drink,Booze,100",1,,200,,,,,,booze,neg,,
59,drink,ビン,,liquid,jar,2212,,,,drink,Drink,1,,100,,,,,,,,,
501,drink,お酒,,ale,,2213,,,,drink,"Drink,Booze,100",1,,310,,,,,,booze,neg,,
502,drink,お酒,,ale,,2214,,,,drink,"Drink,Booze,100",1,,320,,,,,,booze,neg,,
503,drink,お茶,杯,tea,cup,2215,,,,drink,Drink,1,,200,,,,,,,exotic,,
504,drink,缶ジュース,,soft drink,can,2216,,,,drink,Drink,1,,100,,,,,,,,,
505,drink,缶ジュース,,soft drink,can,2217,,,,drink,Drink,1,,100,,,,,,,,,
506,drink,お酒,,ale,,2218,,,,drink,"Drink,Booze,100",1,,310,,,,,,booze,neg,,
507,drink,お酒,,ale,,2219,,,,drink,"Drink,Booze,100",1,,320,,,,,,booze,neg,,
508,drink,牛乳,,milk,,2220,,,,drink,DrinkMilk,1,,250,,,,,,milk,,,
718,drink,コフィ,杯,coffee,cup,2221,,ele/stimulant/10,,drink,DrinkMilk,6,,380,,*,espresso_machine,"coffee_bean/2,+milk|778,+sugar|pot_honey",,milk,craft_bonus/slowDecay/50,,
cappuccino,drink,カプチーノ,杯,cappuccino,cup,2231,,"ele/recharge/10,ele/stimulant/10",,drink,DrinkMilk,12,,500,,*,espresso_machine,"coffee_bean/2,milk/2|778,sugar|pot_honey",,milk,"craft_bonus/recharge/10,craft_bonus/slowDecay/50",,
espresso,drink,エスプレッソ,杯,espresso,cup,2232,,"ele/recharge/20,ele/stimulant/10",,drink,DrinkMilk,25,,500,,,espresso_machine,"coffee_bean/5,milk/2|778,sugar|pot_honey",,milk,"craft_bonus/recharge/20,craft_bonus/slowDecay/50",,
hot_cocoa,drink,ホットココア,杯,hot cocoa,cup,2233,,ele/nerve/20,,drink,DrinkMilk,16,,400,,,espresso_machine,"790/2,milk/2|778,sugar|pot_honey,+#herb",,milk,"craft_bonus/nerve/20,craft_bonus/slowDecay/50",,
732,drink,ワイン,杯,wine,glass,2222,,,,drink,"Drink,Booze,100",1,,520,,,,,,booze,neg,,
733,drink,カクテル,杯,cocktail,glass,2223,,,,drink,"Drink,Booze,100",1,,440,,,,,,booze,neg,,
776,drink,お酒,,ale,,2224,,,,drink,"Drink,Booze,100",1,,320,,,,,,booze,neg,,
777,drink,お酒,,ale,,2225,,,,drink,"Drink,Booze,100",1,,310,,,,,,booze,neg,,
778,drink,牛乳,,milk,,2226,,,,drink,DrinkMilk,1,,290,,,espresso_machine,milk,,milk,,,
789,drink,ココナッツジュース,杯,coconut juice,bowl,2227,,,,drink,DrinkMilk,1,,460,,,,,,milk,,,
840,drink,お酒,,ale,,2228,,,,drink,"Drink,Booze,100",1,,310,,,,,,booze,neg,,
1081,drink,ラムネ,,ramune,,2229,,"ele/recharge/50,ele/purity/5",,drink,"Drink,DrinkRamune",30,10,2400,,,,,,booze,neg,,
1134,drink,酒,,sake,,2230,,,,drink,"Drink,Booze,500",10,,3500,,,,,,booze,"neg,exotic",,
1165,potion,エーテル抗体のポーション,,ether antibody ,potion,,,,,drink_potion,"Potion,CureCorruption,100",30,5,100000,,,,,,,,,
1163,potion,魔法のポーション,,magic potion,potion,,,,,drink_potion,PotionRandom,1,20000,300,,,,,,,,,
330,potion,盲目のポーション,,blindness,potion,,,,,drink_potion,"Potion,Blind,100",1,,180,,,,,,,"neg,drug",,
331,potion,混乱のポーション,,confusion,potion,,,,,drink_potion,"Potion,Confuse,100",1,,160,,,,,,,"neg,drug",,
334,drug,睡眠剤,,sleeping pill,,,,,,drink_potion,"Potion,Sleep,200",1,200,890,,*,tool_alchemy,"potion_empty,#herb,+neutralizer",,,,,
1263,potion,若返りのエリクシル,,youth,elixir,4904,,,,drink_potion,"Potion,Youth,200",32,0,6800,,,tool_alchemy,"mercury,928,789,crystal_mana",soil_blue,,noShop,飲むと若返る薬だ。,An elixir that makes you younger when you drink it.
1264,potion,不老長寿のエリクシル,,eternal youth,elixir,4905,,unique,,drink_potion,"Potion,EternalYouth,200",45,0,39000,,,tool_alchemy,"334,1253,1254,1263",soil_blue,,noShop,永遠に年をとらなくなるとされる幻の薬だ。,A mythical elixir said to halt aging forever.
335,potion,麻痺のポーション,,paralysis,potion,,,,,drink_potion,"Potion,Paralyze,100",1,,550,,,,,,,"neg,drug",,
lovepotion,potion,媚薬,,love potion,,,,,,drink_potion,"PotionLove,Love,100",10,100,6000,,,,,,,"neg,drug",,
336,potion,毒薬,,poison,,,,,,drink_potion,"Potion,Poison,200",1,,450,,*,tool_alchemy,"potion_empty,offal,needle|nail,+neutralizer",,,"neg,drug",,
338,potion,耐酸性コーティング液,,acidproof liquid,,,,,,drink_potion,"Potion,Acidproof,100",1,,1500,,,,,,,"neg,drug",,
mercury,potion,水銀,,mercury,potion,1914,,,,drink_potion,"Potion,Acidproof,100",1,5,4000,,,,,,,"neg,rareResource",,
blood_angel,potion,堕天使の血,,fallen angel,blood,1914,,unique,,drink_potion,"Potion,Acidproof,100",1,0,4000,,,,,,,"neg,rareResource",,
928,potion,ホルモン薬,,hormone drug,,,,,,drink_potion,"Potion,TransGender,100",1,100,2600,,,,,,,drug,,
1252,potion,遺伝子薬,,gene,elixir,4900,,no_color,,drink_potion,"Potion,Gene,100",50,0,100000,,,tool_alchemy,"potion_empty,blood_angel|water_jure,1254/2,1165/1",,,"drug,craft_bonus/purity/50",飲むと遺伝子が放出される薬だ。,An elixir that releases your genetic material when you drink it.
